grid_point, analysis_value, analysis_increment
[19, 7],5621.604301026793,-24.046687482871675
[19, 8],5647.462696617139,-14.953419596273307
[19, 9],5672.018983218096,-5.2604402658053
[19, 10],5698.951809137607,6.907247709170406
[19, 11],5719.1240903894695,10.686361578881588
[19, 12],5736.392911276731,8.702107535377763
[19, 13],5756.204293528371,8.996903978858427
[19, 14],5776.075956250009,13.206464356621836
[19, 15],5797.671930837686,23.23437768720123
[19, 16],5816.2450248742525,32.482854692818364
[19, 17],5822.4497329455635,30.73014987931765
[19, 18],5828.513951858671,30.153070809450583
[19, 19],5833.536075682811,29.714611989768855
[19, 20],5849.449600691756,40.89465293769808
[19, 21],5863.792746769506,50.616595856669846
[20, 0],5304.696914793169,-46.336444618196765
[20, 1],5375.80220088335,-22.55119113081855
[20, 2],5427.786766249309,-30.5195958273398
[20, 3],5505.8123864069,-17.492285940112197
[20, 4],5548.347605295587,-27.4135465222771
[20, 5],5581.901717279348,-30.497883908615222
[20, 6],5613.478831457224,-25.342060100569142
[20, 7],5641.7494725447805,-17.57591988117656
[20, 8],5669.791741485728,-6.6767121320108345
[20, 9],5696.6688977976455,4.697610313197401
[20, 10],5717.181128659193,9.601155870477669
[20, 11],5737.639065271461,11.860165910249634
[20, 12],5759.174225624254,11.785180605360438
[20, 13],5778.2815257522025,10.313821469711911
[20, 14],5792.9060175512695,9.751584630428624
[20, 15],5817.369518201264,23.511825378848698
[20, 16],5833.251194871989,30.901470594270904
[20, 17],5843.51756820567,34.23909123187423
[20, 18],5847.137544275009,32.76827139425495
[20, 19],5847.418540094374,29.881111475532634
[20, 20],5847.001556679132,27.8984723954145
[20, 21],5867.551087857571,47.472146841031645
[21, 0],5318.447226062493,-61.87515173392785
[21, 1],5388.761342034907,-42.4147751481878
[21, 2],5459.810339003172,-31.90705361475011
[21, 3],5518.006884607274,-33.16541374467397
[21, 4],5567.959999781471,-27.467251944121926
[21, 5],5609.985649493041,-15.645551793598315
[21, 6],5639.656565786493,-9.437348678356102
[21, 7],5668.439797300511,-1.2791328334742502
[21, 8],5687.095578889198,-1.1013758650306045
[21, 9],5711.9311956444735,7.079628814209173
[21, 10],5731.9012632260965,10.512652274336688
[21, 11],5753.541874268435,12.77395666827124
[21, 12],5775.7890178625485,12.006884283036925
[21, 13],5795.388207029705,10.18888804172093
[21, 14],5810.116429124645,9.676710156631088
[21, 15],5831.193654192193,20.404919184070422
[21, 16],5843.668008158593,25.068136438225338
[21, 17],5855.5424341348435,31.01626267037682
[21, 18],5856.361669004855,28.00183313555135
[21, 19],5853.407409751393,23.315534407458472
[21, 20],5851.7672515867025,21.834968422445854
[21, 21],5867.990464090271,39.640304726201066
[22, 0],5325.109575639141,-79.2242117222695
[22, 1],5405.5155500803185,-52.03927306950936
[22, 2],5474.766436888061,-39.52587255537219
[22, 3],5542.68259296886,-22.936610824378477
[22, 4],5586.198234777413,-17.82497031962339
[22, 5],5630.466557039059,-1.1673044898770968
[22, 6],5661.088046986631,6.449770747678485
[22, 7],5687.906030166686,11.315591765558565
[22, 8],5702.604100179304,5.435488651716696
[22, 9],5725.007916083783,9.551106765626173
[22, 10],5741.352732565388,8.506827042747318
[22, 11],5764.837066071599,12.434422786544019
[22, 12],5786.195016006215,10.863803230237863
[22, 13],5808.214815235042,11.136966343973654
[22, 14],5822.611661473518,9.756973761714107
[22, 15],5838.300214713359,14.808233364969055
[22, 16],5854.37758584462,23.07080681181924
[22, 17],5864.485371020601,27.312126276448907
[22, 18],5864.485962785363,23.436854881813815
[22, 19],5862.48299509232,19.53608998263735
[22, 20],5858.009343798506,14.940222549590544
[22, 21],5856.264378632966,14.848169112088726
[23, 0],5346.799376111025,-77.25393499031543
[23, 1],5436.91733094264,-40.37597321924568
[23, 2],5503.201088685342,-25.430940404944522
[23, 3],5562.213173463507,-10.411591000661247
[23, 4],5606.023352817776,-0.7555762505735402
[23, 5],5644.547476474566,11.455000233009741
[23, 6],5674.7180225377315,18.320257220036183
[23, 7],5700.417971451227,20.266152641744156
[23, 8],5716.852429086261,13.431110673076546
[23, 9],5736.201988251945,12.385978062825416
[23, 10],5754.223679837895,12.17902848225458
[23, 11],5771.08714787267,9.940646493677377
[23, 12],5793.141415525511,10.19566642562404
[23, 13],5814.895313945352,10.532196777126046
